2026-07-09 15:35:08, MOVE, v:1, k:ed@chaves, mode:EDIT
2026-07-09 15:35:08, MOVE, v:1, k:ed@chaves, mode:EDIT
2026-07-09 15:35:08, MOVE, v:1, k:ed@chaves, mode:EDIT
2026-07-09 15:35:08, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-07-09 15:35:08, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-07-09 15:35:08, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-07-09 15:35:08, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-07-09 15:35:08, MOVE, v:1, k:ed@especiais, mode:EDIT
2026-07-09 15:35:08, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-07-09 15:35:08, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-07-09 15:35:08, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-07-09 15:35:08, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-07-09 15:35:08, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-07-09 15:35:08, MOVE, v:1, k:ed@lista_d1, mode:EDIT
2026-07-09 15:35:08, MOVE, v:1, k:ed@lista_d1, mode:EDIT
2026-07-09 15:35:08, MOVE, v:1, k:ed@pilha, mode:EDIT
2026-07-09 15:35:08, MOVE, v:1, k:ed@pilha, mode:EDIT
2026-07-09 15:35:08, MOVE, v:1, k:ed@princesa, mode:EDIT
2026-07-09 15:35:08, MOVE, v:1, k:ed@princesa, mode:EDIT
2026-07-09 15:35:08, MOVE, v:1, k:ed@queimada, mode:EDIT
2026-07-09 15:35:08, MOVE, v:1, k:ed@queimada, mode:EDIT
2026-07-09 15:35:08, MOVE, v:1, k:ed@resto, mode:EDIT
2026-07-09 15:35:08, MOVE, v:1, k:ed@rotacoes, mode:EDIT
2026-07-09 15:35:08, MOVE, v:1, k:ed@setbuild, mode:EDIT
2026-07-09 15:35:08, MOVE, v:1, k:ed@setbuild, mode:EDIT
2026-07-09 15:35:08, MOVE, v:1, k:ed@subset_sum, mode:EDIT
2026-07-09 15:35:08, MOVE, v:1, k:ed@subset_sum, mode:EDIT
2026-07-09 15:35:08, MOVE, v:1, k:ed@triangulo, mode:EDIT
2026-07-09 15:35:08, MOVE, v:1, k:ed@triangulo, mode:EDIT
2026-07-09 15:35:08, MOVE, v:1, k:ed@vetbuild, mode:EDIT
2026-07-09 15:35:08, MOVE, v:1, k:ed@vetbuild, mode:EDIT
2026-07-09 15:58:02, MOVE, v:1, k:ed@vetbuild, mode:PICK
2026-07-09 15:58:37, MOVE, v:1, k:ed@vetbuild, mode:BACK
2026-07-09 15:59:11, MOVE, v:1, k:ed@vetbuild, mode:PICK
2026-07-09 15:59:13, MOVE, v:1, k:ed@vetbuild, mode:BACK
2026-07-09 15:59:38, MOVE, v:1, k:ed@vetbuild, mode:PICK
2026-07-09 15:58:21, MOVE, v:1, k:ed@manipulacao, mode:EDIT
2026-07-09 15:58:21, MOVE, v:1, k:ed@rotacoes, mode:EDIT
2026-07-09 15:59:43, MOVE, v:1, k:ed@vetbuild, mode:EDIT
